2015-07-13 10:32:37,156 [15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T10/D2] [LogScrubber] Tasks completed, terminated
2015-07-13 10:32:37,157 [15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T7/D2] [ScheduledTasks] Tasks completed, terminated
2015-07-13 10:32:37,157 [15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T11/D2] [ScheduledPublishing] Tasks completed, terminated
2015-07-13 10:32:37,167 [15] INFO  umbraco.content - [T16/D2] Save Xml to file...
2015-07-13 10:32:37,173 [15] INFO  umbraco.content - [T6/D2] Saved Xml to file.
2015-07-13 10:32:37,179 [15] INFO  Umbraco.Web.Scheduling.BackgroundTaskRunner - [T11/D2] [XmlCacheFilePersister] Tasks completed, terminated
2015-07-13 10:32:37,258 [15] INFO  Umbraco.Core.UmbracoApplicationBase - [T13/D2] Application shutdown. Reason: ConfigurationChange
2015-07-13 10:32:47,823 [15] INFO  Umbraco.Core.CoreBootManager - [T1/D3] Umbraco application starting
2015-07-13 10:32:47,870 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Determining hash of code files on disk
2015-07-13 10:32:47,880 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Hash determined (took 8ms)
2015-07-13 10:32:47,891 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-07-13 10:32:48,125 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 233ms)
2015-07-13 10:32:48,195 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-07-13 10:32:48,202 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2015-07-13 10:32:48,202 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-07-13 10:32:48,207 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 5ms)
2015-07-13 10:32:48,226 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-07-13 10:32:48,232 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 6 (took 5ms)
2015-07-13 10:32:48,233 [15] INFO  Umbraco.Core.PluginManager - [T1/D3] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
